Year,Occupation Type,Occupation Sub-Type,Occupation Sub-Type2,Occupation,Gender,Number of workers,Median weekly earnings,Standarderrorofmedian
2019,Sales and office,Office and administrative support,Couriers and messengers,,Men,164,$821,42
2019,Sales and office,Office and administrative support,Dispatchers,,Men,108,$926,63
2019,Sales and office,Office and administrative support,"Meter readers, utilities",,Men,22,–,–
2019,Sales and office,Office and administrative support,Postal service clerks,,Men,51,$758,84
2019,Sales and office,Office and administrative support,Postal service mail carriers,,Men,170,$983,30
2019,Sales and office,Office and administrative support,"Postal service mail sorters, processors, and processing machine operators",,Men,22,–,–
2019,Sales and office,Office and administrative support,"Production, planning, and expediting clerks",,Men,119,"$1,004",88
2019,Sales and office,Office and administrative support,"Shipping, receiving, and traffic clerks",,Men,365,$654,20
2019,Sales and office,Office and administrative support,Stock clerks and order fillers,,Men,629,$558,15
2019,Sales and office,Office and administrative support,"Weighers, measurers, checkers, and samplers, recordkeeping",,Men,30,–,–
2019,Sales and office,Office and administrative support,Secretaries and administrative assistants,,Men,122,$903,54
2019,Sales and office,Office and administrative support,Computer operators,,Men,27,–,–
2019,Sales and office,Office and administrative support,Data entry keyers,,Men,52,$730,68
2019,Sales and office,Office and administrative support,Word processors and typists,,Men,9,–,–
2019,Sales and office,Office and administrative support,Desktop publishers,,Men,1,–,–
2019,Sales and office,Office and administrative support,Insurance claims and policy processing clerks,,Men,36,–,–
2019,Sales and office,Office and administrative support,"Mail clerks and mail machine operators, except postal service",,Men,31,–,–
2019,Sales and office,Office and administrative support,"Office clerks, general",,Men,128,$670,29
2019,Sales and office,Office and administrative support,"Office machine operators, except computer",,Men,5,–,–
2019,Sales and office,Office and administrative support,Proofreaders and copy markers,,Men,2,–,–
2019,Sales and office,Office and administrative support,Statistical assistants,,Men,16,–,–
2019,Sales and office,Office and administrative support,"Office and administrative support workers, all other",,Men,104,$920,38
2019,"Natural resources, construction, and maintenance",,,,Men,11030,$834,7
2019,"Natural resources, construction, and maintenance","Farming, fishing, and forestry",,,Men,667,$602,8
2019,"Natural resources, construction, and maintenance","Farming, fishing, and forestry","First-line supervisors of farming, fishing, and forestry workers",,Men,37,–,–
2019,"Natural resources, construction, and maintenance","Farming, fishing, and forestry",Agricultural inspectors,,Men,13,–,–
2019,"Natural resources, construction, and maintenance","Farming, fishing, and forestry",Animal breeders,,Men,2,–,–
2019,"Natural resources, construction, and maintenance","Farming, fishing, and forestry","Graders and sorters, agricultural products",,Men,38,–,–
2019,"Natural resources, construction, and maintenance","Farming, fishing, and forestry",Miscellaneous agricultural workers,,Men,512,$578,9
2019,"Natural resources, construction, and maintenance","Farming, fishing, and forestry",Fishers and related fishing workers,,Men,12,–,–
2019,"Natural resources, construction, and maintenance","Farming, fishing, and forestry",Hunters and trappers,,Men,3,–,–
2019,"Natural resources, construction, and maintenance","Farming, fishing, and forestry",Forest and conservation workers,,Men,15,–,–
2019,"Natural resources, construction, and maintenance","Farming, fishing, and forestry",Logging workers,,Men,36,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,,,Men,6223,$809,6
2019,"Natural resources, construction, and maintenance",Construction and extraction,First-line supervisors of construction trades and extraction workers,,Men,521,"$1,073",37
2019,"Natural resources, construction, and maintenance",Construction and extraction,Boilermakers,,Men,16,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,"Brickmasons, blockmasons, and stonemasons",,Men,100,$761,48
2019,"Natural resources, construction, and maintenance",Construction and extraction,Carpenters,,Men,953,$759,15
2019,"Natural resources, construction, and maintenance",Construction and extraction,"Carpet, floor, and tile installers and finishers",,Men,105,$682,31
2019,"Natural resources, construction, and maintenance",Construction and extraction,"Cement masons, concrete finishers, and terrazzo workers",,Men,46,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,Construction laborers,,Men,1421,$717,8
2019,"Natural resources, construction, and maintenance",Construction and extraction,"Paving, surfacing, and tamping equipment operators",,Men,18,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,Pile-driver operators,,Men,1,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,Operating engineers and other construction equipment operators,,Men,323,$905,21
2019,"Natural resources, construction, and maintenance",Construction and extraction,"Drywall installers, ceiling tile installers, and tapers",,Men,124,$707,26
2019,"Natural resources, construction, and maintenance",Construction and extraction,Electricians,,Men,766,$966,22
2019,"Natural resources, construction, and maintenance",Construction and extraction,Glaziers,,Men,35,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,Insulation workers,,Men,48,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,"Painters, construction and maintenance",,Men,360,$679,14
2019,"Natural resources, construction, and maintenance",Construction and extraction,Paperhangers,,Men,3,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,"Pipelayers, plumbers, pipefitters, and steamfitters",,Men,514,$916,26
2019,"Natural resources, construction, and maintenance",Construction and extraction,Plasterers and stucco masons,,Men,14,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,Reinforcing iron and rebar workers,,Men,3,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,Roofers,,Men,146,$686,19
2019,"Natural resources, construction, and maintenance",Construction and extraction,Sheet metal workers,,Men,127,$882,23
2019,"Natural resources, construction, and maintenance",Construction and extraction,Structural iron and steel workers,,Men,51,$941,52
2019,"Natural resources, construction, and maintenance",Construction and extraction,Solar photovoltaic installers,,Men,9,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,"Helpers, construction trades",,Men,67,$622,18
2019,"Natural resources, construction, and maintenance",Construction and extraction,Construction and building inspectors,,Men,68,"$1,015",93
2019,"Natural resources, construction, and maintenance",Construction and extraction,Elevator installers and repairers,,Men,23,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,Fence erectors,,Men,21,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,Hazardous materials removal workers,,Men,27,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,Highway maintenance workers,,Men,105,$772,39
2019,"Natural resources, construction, and maintenance",Construction and extraction,Rail-track laying and maintenance equipment operators,,Men,12,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,Septic tank servicers and sewer pipe cleaners,,Men,6,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,Miscellaneous construction and related workers,,Men,24,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,"Derrick, rotary drill, and service unit operators, oil, gas, and mining",,Men,28,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,"Earth drillers, except oil and gas",,Men,23,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,"Explosives workers, ordnance handling experts, and blasters",,Men,14,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,Mining machine operators,,Men,55,"$1,389",79
2019,"Natural resources, construction, and maintenance",Construction and extraction,"Roof bolters, mining",,Men,1,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,"Roustabouts, oil and gas",,Men,9,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,Helpers--extraction workers,,Men,2,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,Other extraction workers,,Men,34,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",,,Men,4140,$936,9
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair","First-line supervisors of mechanics, installers, and repairers",,Men,255,"$1,111",77
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair","Computer, automated teller, and office machine repairers",,Men,137,$940,24
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Radio and telecommunications equipment installers and repairers,,Men,108,"$1,134",37
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Avionics technicians,,Men,10,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair","Electric motor, power tool, and related repairers",,Men,20,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair","Electrical and electronics installers and repairers, transportation equipment",,Men,0,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair","Electrical and electronics repairers, industrial and utility",,Men,10,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair","Electronic equipment installers and repairers, motor vehicles",,Men,5,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Electronic home entertainment equipment installers and repairers,,Men,29,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Security and fire alarm systems installers,,Men,47,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Aircraft mechanics and service technicians,,Men,147,"$1,141",51
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Automotive body and related repairers,,Men,114,$820,44
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Automotive glass installers and repairers,,Men,21,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Automotive service technicians and mechanics,,Men,698,$802,13
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Bus and truck mechanics and diesel engine specialists,,Men,352,$943,31
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Heavy vehicle and mobile equipment service technicians and mechanics,,Men,196,"$1,011",26
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Small engine mechanics,,Men,28,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair","Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",,Men,65,$612,37
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Control and valve installers and repairers,,Men,18,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair","Heating, air conditioning, and refrigeration mechanics and installers",,Men,381,$891,38
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Home appliance repairers,,Men,28,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Industrial and refractory machinery mechanics,,Men,418,$982,32
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair","Maintenance and repair workers, general",,Men,439,$874,29
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair","Maintenance workers, machinery",,Men,23,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Millwrights,,Men,39,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Electrical power-line installers and repairers,,Men,124,"$1,292",54
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Telecommunications line installers and repairers,,Men,187,"$1,026",51
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Precision instrument and equipment repairers,,Men,39,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Wind turbine service technicians,,Men,2,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair","Coin, vending, and amusement machine servicers and repairers",,Men,23,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Commercial divers,,Men,0,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Locksmiths and safe repairers,,Men,18,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Manufactured building and mobile home installers,,Men,5,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Riggers,,Men,13,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Signal and track switch repairers,,Men,14,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair","Helpers--installation, maintenance, and repair workers",,Men,17,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair","Other installation, maintenance, and repair workers",,Men,108,$837,83
2019,"Production, transportation, and material moving",,,,Men,11932,$762,5
2019,"Production, transportation, and material moving",Production,,,Men,5627,$793,6
2019,"Production, transportation, and material moving",Production,First-line supervisors of production and operating workers,,Men,642,"$1,050",38
2019,"Production, transportation, and material moving",Production,"Aircraft structure, surfaces, rigging, and systems assemblers",,Men,5,–,–
2019,"Production, transportation, and material moving",Production,"Electrical, electronics, and electromechanical assemblers",,Men,57,$706,200
2019,"Production, transportation, and material moving",Production,Engine and other machine assemblers,,Men,5,–,–
2019,"Production, transportation, and material moving",Production,Structural metal fabricators and fitters,,Men,27,–,–
2019,"Production, transportation, and material moving",Production,Miscellaneous assemblers and fabricators,,Men,641,$723,15
2019,"Production, transportation, and material moving",Production,Bakers,,Men,61,$565,21
2019,"Production, transportation, and material moving",Production,"Butchers and other meat, poultry, and fish processing workers",,Men,158,$632,31
2019,"Production, transportation, and material moving",Production,"Food and tobacco roasting, baking, and drying machine operators and tenders",,Men,3,–,–
2019,"Production, transportation, and material moving",Production,Food batchmakers,,Men,21,–,–
2019,"Production, transportation, and material moving",Production,Food cooking machine operators and tenders,,Men,3,–,–
2019,"Production, transportation, and material moving",Production,"Food processing workers, all other",,Men,90,$749,55
2019,"Production, transportation, and material moving",Production,Computer control programmers and operators,,Men,94,$890,30
2019,"Production, transportation, and material moving",Production,"Extruding and drawing machine setters, operators, and tenders, metal and plastic",,Men,12,–,–
2019,"Production, transportation, and material moving",Production,"Forging machine setters, operators, and tenders, metal and plastic",,Men,5,–,–
2019,"Production, transportation, and material moving",Production,"Rolling machine setters, operators, and tenders, metal and plastic",,Men,7,–,–
2019,"Production, transportation, and material moving",Production,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",,Men,53,$766,39
2019,"Production, transportation, and material moving",Production,"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",,Men,6,–,–
2019,"Production, transportation, and material moving",Production,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",,Men,33,–,–
2019,"Production, transportation, and material moving",Production,"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",,Men,7,–,–
2019,"Production, transportation, and material moving",Production,"Milling and planing machine setters, operators, and tenders, metal and plastic",,Men,2,–,–
2019,"Production, transportation, and material moving",Production,Machinists,,Men,293,$878,26
2019,"Production, transportation, and material moving",Production,"Metal furnace operators, tenders, pourers, and casters",,Men,16,–,–
2019,"Production, transportation, and material moving",Production,"Model makers and patternmakers, metal and plastic",,Men,5,–,–
2019,"Production, transportation, and material moving",Production,"Molders and molding machine setters, operators, and tenders, metal and plastic",,Men,32,–,–
2019,"Production, transportation, and material moving",Production,"Multiple machine tool setters, operators, and tenders, metal and plastic",,Men,4,–,–
2019,"Production, transportation, and material moving",Production,Tool and die makers,,Men,45,–,–
2019,"Production, transportation, and material moving",Production,"Welding, soldering, and brazing workers",,Men,530,$847,23
2019,"Production, transportation, and material moving",Production,"Heat treating equipment setters, operators, and tenders, metal and plastic",,Men,8,–,–
2019,"Production, transportation, and material moving",Production,"Layout workers, metal and plastic",,Men,9,–,–
2019,"Production, transportation, and material moving",Production,"Plating and coating machine setters, operators, and tenders, metal and plastic",,Men,13,–,–
2019,"Production, transportation, and material moving",Production,"Tool grinders, filers, and sharpeners",,Men,1,–,–
2019,"Production, transportation, and material moving",Production,"Metal workers and plastic workers, all other",,Men,290,$724,29
2019,"Production, transportation, and material moving",Production,Prepress technicians and workers,,Men,11,–,–
2019,"Production, transportation, and material moving",Production,Printing press operators,,Men,111,$804,55
2019,"Production, transportation, and material moving",Production,Print binding and finishing workers,,Men,6,–,–
2019,"Production, transportation, and material moving",Production,Laundry and dry-cleaning workers,,Men,32,–,–
2019,"Production, transportation, and material moving",Production,"Pressers, textile, garment, and related materials",,Men,11,–,–
2019,"Production, transportation, and material moving",Production,Sewing machine operators,,Men,37,–,–
2019,"Production, transportation, and material moving",Production,Shoe and leather workers and repairers,,Men,1,–,–
2019,"Production, transportation, and material moving",Production,Shoe machine operators and tenders,,Men,2,–,–
2019,"Production, transportation, and material moving",Production,"Tailors, dressmakers, and sewers",,Men,19,–,–
2019,"Production, transportation, and material moving",Production,Textile bleaching and dyeing machine operators and tenders,,Men,0,–,–
2019,"Production, transportation, and material moving",Production,"Textile cutting machine setters, operators, and tenders",,Men,7,–,–
2019,"Production, transportation, and material moving",Production,"Textile knitting and weaving machine setters, operators, and tenders",,Men,2,–,–
2019,"Production, transportation, and material moving",Production,"Textile winding, twisting, and drawing out machine setters, operators, and tenders",,Men,2,–,–
2019,"Production, transportation, and material moving",Production,"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",,Men,0,–,–
2019,"Production, transportation, and material moving",Production,Fabric and apparel patternmakers,,Men,0,–,–
2019,"Production, transportation, and material moving",Production,Upholsterers,,Men,14,–,–
2019,"Production, transportation, and material moving",Production,"Textile, apparel, and furnishings workers, all other",,Men,7,–,–
2019,"Production, transportation, and material moving",Production,Cabinetmakers and bench carpenters,,Men,44,–,–
2019,"Production, transportation, and material moving",Production,Furniture finishers,,Men,13,–,–
2019,"Production, transportation, and material moving",Production,"Model makers and patternmakers, wood",,Men,0,–,–
2019,"Production, transportation, and material moving",Production,"Sawing machine setters, operators, and tenders, wood",,Men,27,–,–
2019,"Production, transportation, and material moving",Production,"Woodworking machine setters, operators, and tenders, except sawing",,Men,13,–,–
2019,"Production, transportation, and material moving",Production,"Woodworkers, all other",,Men,11,–,–
2019,"Production, transportation, and material moving",Production,"Power plant operators, distributors, and dispatchers",,Men,32,–,–
2019,"Production, transportation, and material moving",Production,Stationary engineers and boiler operators,,Men,82,"$1,086",72
2019,"Production, transportation, and material moving",Production,Water and wastewater treatment plant and system operators,,Men,94,$940,44
2019,"Production, transportation, and material moving",Production,Miscellaneous plant and system operators,,Men,35,–,–
2019,"Production, transportation, and material moving",Production,"Chemical processing machine setters, operators, and tenders",,Men,57,$899,34
2019,"Production, transportation, and material moving",Production,"Crushing, grinding, polishing, mixing, and blending workers",,Men,78,$673,51
2019,"Production, transportation, and material moving",Production,Cutting workers,,Men,43,–,–
2019,"Production, transportation, and material moving",Production,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",,Men,14,–,–
2019,"Production, transportation, and material moving",Production,"Furnace, kiln, oven, drier, and kettle operators and tenders",,Men,15,–,–
2019,"Production, transportation, and material moving",Production,"Inspectors, testers, sorters, samplers, and weighers",,Men,490,$868,38
2019,"Production, transportation, and material moving",Production,Jewelers and precious stone and metal workers,,Men,13,–,–
2019,"Production, transportation, and material moving",Production,"Medical, dental, and ophthalmic laboratory technicians",,Men,33,–,–
2019,"Production, transportation, and material moving",Production,Packaging and filling machine operators and tenders,,Men,110,$602,27
2019,"Production, transportation, and material moving",Production,Painting workers,,Men,142,$725,35
2019,"Production, transportation, and material moving",Production,Photographic process workers and processing machine operators,,Men,11,–,–
2019,"Production, transportation, and material moving",Production,Semiconductor processors,,Men,1,–,–
2019,"Production, transportation, and material moving",Production,Adhesive bonding machine operators and tenders,,Men,5,–,–
2019,"Production, transportation, and material moving",Production,"Cleaning, washing, and metal pickling equipment operators and tenders",,Men,6,–,–
2019,"Production, transportation, and material moving",Production,Cooling and freezing equipment operators and tenders,,Men,4,–,–
2019,"Production, transportation, and material moving",Production,Etchers and engravers,,Men,6,–,–
2019,"Production, transportation, and material moving",Production,"Molders, shapers, and casters, except metal and plastic",,Men,27,–,–
2019,"Production, transportation, and material moving",Production,"Paper goods machine setters, operators, and tenders",,Men,16,–,–
2019,"Production, transportation, and material moving",Production,Tire builders,,Men,5,–,–
2019,"Production, transportation, and material moving",Production,Helpers--production workers,,Men,26,–,–
2019,"Production, transportation, and material moving",Production,"Production workers, all other",,Men,729,$725,16
2019,"Production, transportation, and material moving",Transportation and material moving,,,Men,6305,$724,7
2019,"Production, transportation, and material moving",Transportation and material moving,Supervisors of transportation and material moving workers,,Men,152,$878,66
2019,"Production, transportation, and material moving",Transportation and material moving,Aircraft pilots and flight engineers,,Men,91,"$1,837",291
2019,"Production, transportation, and material moving",Transportation and material moving,Air traffic controllers and airfield operations specialists,,Men,35,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,Flight attendants,,Men,21,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,"Ambulance drivers and attendants, except emergency medical technicians",,Men,8,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,Bus drivers,,Men,216,$735,33
2019,"Production, transportation, and material moving",Transportation and material moving,Driver/sales workers and truck drivers,,Men,2636,$829,12
2019,"Production, transportation, and material moving",Transportation and material moving,Taxi drivers and chauffeurs,,Men,341,$628,19
2019,"Production, transportation, and material moving",Transportation and material moving,"Motor vehicle operators, all other",,Men,34,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,Locomotive engineers and operators,,Men,30,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,"Railroad brake, signal, and switch operators",,Men,3,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,Railroad conductors and yardmasters,,Men,50,"$1,143",56
2019,"Production, transportation, and material moving",Transportation and material moving,"Subway, streetcar, and other rail transportation workers",,Men,17,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,Sailors and marine oilers,,Men,20,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,Ship and boat captains and operators,,Men,29,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,Ship engineers,,Men,7,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,Bridge and lock tenders,,Men,5,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,Parking lot attendants,,Men,54,$575,45
2019,"Production, transportation, and material moving",Transportation and material moving,Automotive and watercraft service attendants,,Men,56,$575,54
2019,"Production, transportation, and material moving",Transportation and material moving,Transportation inspectors,,Men,34,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,"Transportation attendants, except flight attendants",,Men,5,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,Other transportation workers,,Men,18,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,Conveyor operators and tenders,,Men,4,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,Crane and tower operators,,Men,60,"$1,079",271
2019,"Production, transportation, and material moving",Transportation and material moving,"Dredge, excavating, and loading machine operators",,Men,19,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,Hoist and winch operators,,Men,8,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,Industrial truck and tractor operators,,Men,549,$641,16
2019,"Production, transportation, and material moving",Transportation and material moving,Cleaners of vehicles and equipment,,Men,192,$536,25
2019,"Production, transportation, and material moving",Transportation and material moving,"Laborers and freight, stock, and material movers, hand",,Men,1277,$620,7
2019,"Production, transportation, and material moving",Transportation and material moving,Machine feeders and offbearers,,Men,15,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,"Packers and packagers, hand",,Men,205,$516,11
2019,"Production, transportation, and material moving",Transportation and material moving,Pumping station operators,,Men,16,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,Refuse and recyclable material collectors,,Men,55,$536,45
2019,"Production, transportation, and material moving",Transportation and material moving,Mine shuttle car operators,,Men,0,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,"Tank car, truck, and ship loaders",,Men,6,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,"Material moving workers, all other",,Men,37,–,–
2019,"Management, professional, and related",,,,Total,48808,"$1,246",4
2019,"Management, professional, and related","Management, business, and financial operations",,,Total,19863,"$1,355",6
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Total,13477,"$1,429",10
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Total,1098,"$2,291",23
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Total,939,"$1,338",32
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Total,14,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Total,39,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Total,963,"$1,567",38
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Total,61,"$1,415",52
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Total,147,"$1,215",74
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Total,601,"$1,877",39
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Total,1158,"$1,466",38
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Total,21,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Total,294,"$1,381",49
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Total,52,"$1,448",106
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Total,243,"$1,465",47
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Total,222,"$1,362",73
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Total,269,"$1,131",28
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Total,119,$945,47
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Total,625,"$1,431",37
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Total,857,"$1,381",41
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Total,149,"$2,226",192
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Total,827,$809,27
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Total,0,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Total,23,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Total,112,$955,52
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Total,567,"$1,408",33
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Total,8,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Total,22,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Total,390,"$1,018",32
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Total,363,"$1,141",27
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Total,9,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Total,3285,"$1,525",21
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Total,6385,"$1,216",12
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Total,31,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Total,10,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Total,147,$878,61
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Total,223,"$1,160",50
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Total,334,$998,19
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Total,278,"$1,296",75
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Total,109,"$1,165",36
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Total,620,"$1,161",29
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Total,48,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Total,111,"$1,092",65
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Total,127,"$1,019",49
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Total,635,"$1,532",45
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Total,89,"$1,002",77
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Total,82,"$1,262",259
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Total,299,"$1,246",50
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Total,223,"$1,150",17
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Total,1615,"$1,209",19
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Total,47,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Total,52,"$1,351",79
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Total,27,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Total,261,"$1,470",51
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Total,414,"$1,473",89
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Total,122,"$1,268",94
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Total,11,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Total,332,"$1,168",47
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Total,42,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Total,62,"$1,028",82
